,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked_C,Embarked_Q,Embarked_S,Prefix
0,1,0,3,1,-0.5924805998028931,1,0,-0.5024451714361923,0.29985443959243085,0,0,1,0.3838383838383838
1,2,1,1,0,0.6387890120425208,1,0,0.7868452935884461,0.3838383838383838,1,0,0,0.3838383838383838
2,3,1,3,0,-0.2846631968415396,0,0,-0.4888542575852486,0.29985443959243085,0,0,1,0.3838383838383838
3,4,1,1,0,0.40792595982150565,1,0,0.4207302360686478,0.46875932984085916,0,0,1,0.6919191919191919
4,5,0,3,1,0.40792595982150565,0,0,-0.4863374216869257,0.29985443959243085,0,0,1,0.1919191919191919
5,6,0,3,1,0.0,0,0,-0.47811642890864375,0.29985443959243085,0,1,0,0.12794612794612795
6,7,0,1,1,1.8700586238879346,0,0,0.395813560675251,0.3838383838383838,0,0,1,0.09595959595959595
7,8,0,3,1,-2.1315676146096605,3,1,-0.22408312108167944,0.29985443959243085,0,0,1,0.3838383838383838
8,9,1,3,0,-0.20770884610120124,0,2,-0.4242561406845337,0.29985443959243085,0,0,1,0.7946127946127945
9,10,1,2,0,-1.2081154057256,1,0,-0.04295550208861426,0.29985443959243085,1,0,0,0.8459595959595959
10,11,1,3,0,-1.9776589131289837,1,1,-0.312172377522981,0.49449093392381804,0,0,1,0.6919191919191919
11,12,1,1,0,2.177876026849288,0,0,-0.11384570873513637,0.3838383838383838,0,0,1,0.7946127946127945
12,13,0,3,1,-0.7463893012835698,0,0,-0.4863374216869257,0.29985443959243085,0,0,1,0.07676767676767676
13,14,0,3,1,0.7157433627828591,1,5,-0.01870931177853076,0.29985443959243085,0,0,1,0.06397306397306397
14,15,0,3,0,-1.2081154057256,0,0,-0.4902797934380587,0.29985443959243085,0,0,1,0.8459595959595959
15,16,1,2,0,1.947012974628273,0,0,-0.3262666585535892,0.29985443959243085,0,0,1,0.8767676767676769
16,17,0,3,1,-2.1315676146096605,4,1,-0.06199888922968463,0.29985443959243085,0,1,0,0.1919191919191919
17,18,1,2,1,0.0,0,0,-0.3866707201133388,0.29985443959243085,0,0,1,0.05483405483405483
18,19,0,3,0,0.1001085568601522,1,0,-0.2859972841804228,0.29985443959243085,0,0,1,0.8973063973063974
19,20,1,3,0,0.0,0,0,-0.5029485386158568,0.29985443959243085,1,0,0,0.7691197691197692
20,21,0,2,1,0.40792595982150565,0,0,-0.12491978668775715,0.29985443959243085,0,0,1,0.17297979797979798
21,22,1,2,1,0.3309716090811673,0,0,-0.3866707201133388,0.3838383838383838,0,0,1,0.1537598204264871
22,23,1,3,0,-1.1311610549852615,0,0,-0.4867562231804066,0.29985443959243085,0,1,0,0.6767676767676767
23,24,1,1,1,-0.1307544953608629,0,0,0.06635974158478332,0.3838383838383838,0,0,1,0.23838383838383836
24,25,0,3,0,-1.6698415101676303,3,1,-0.22408312108167944,0.29985443959243085,0,0,1,0.7306397306397306
25,26,1,3,0,0.6387890120425208,1,5,-0.016444159470040135,0.29985443959243085,0,0,1,0.797979797979798
26,27,0,3,1,0.0,0,0,-0.5029485386158568,0.29985443959243085,1,0,0,0.30762167125803486
27,28,0,1,1,-0.8233436520239081,3,2,4.647001076532463,0.49449093392381804,0,0,1,0.28198653198653195
28,29,1,3,0,0.0,0,0,-0.48977642625839407,0.29985443959243085,0,1,0,0.6262626262626263
29,30,0,3,1,0.0,0,0,-0.4894421904510968,0.29985443959243085,0,0,1,0.2602952602952603
30,31,0,1,1,0.7926977135231975,0,0,-0.09027201697708476,0.29985443959243085,1,0,0,0.3838383838383838
31,32,1,1,0,0.0,1,0,2.301728820789,0.3838383838383838,1,0,0,0.8204264870931538
32,33,1,3,0,0.0,0,0,-0.49237782784290063,0.29985443959243085,0,1,0,0.672979797979798
33,34,0,2,1,2.793510832771995,0,0,-0.43700743807979686,0.29985443959243085,0,0,1,0.2417027417027417
34,35,0,1,1,-0.1307544953608629,1,0,1.0060617003323709,0.29985443959243085,1,0,0,0.2255892255892256
35,36,0,1,1,0.9466064150038742,1,0,0.39858208016340624,0.29985443959243085,0,0,1,0.21148989898989898
36,37,1,3,1,0.0,0,0,-0.5028639729296732,0.29985443959243085,1,0,0,0.19904931669637552
